area_code,area_name,period,indicator,measure,unit,value
E06000055,Bedford,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,60.9
E08000002,Bury,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,75.7
E06000050,Cheshire West and Chester,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,51.9
E06000015,Derby,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,52.5
E92000001,England,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,58.5
E06000035,Medway,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63.7
E06000042,Milton Keynes,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48.1
E06000031,Peterborough,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55.5
E06000038,Reading,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,65.1
E08000029,Solihull,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55.6
E06000025,South Gloucestershire,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,54.9
E08000007,Stockport,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,50.7
E06000030,Swindon,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,50
E06000034,Thurrock,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55.5
E08000009,Trafford,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,59.2
E06000007,Warrington,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.7
E06000014,York,2010/11,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,54.9
E06000055,Bedford,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,61.8
E08000002,Bury,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63.7
E06000050,Cheshire West and Chester,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,50.4
E06000015,Derby,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,53.6
E92000001,England,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57
E06000035,Medway,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,62.1
E06000042,Milton Keynes,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,46.2
E06000031,Peterborough,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55
E06000038,Reading,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63.2
E08000029,Solihull,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,53.9
E06000025,South Gloucestershire,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,46.9
E08000007,Stockport,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,37.4
E06000030,Swindon,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,51.8
E06000034,Thurrock,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.6
E08000009,Trafford,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,50.8
E06000007,Warrington,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.7
E06000014,York,2011/12,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,53.6
E06000055,Bedford,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,60.9
E08000002,Bury,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57
E06000050,Cheshire West and Chester,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,43.9
E06000015,Derby,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,54.6
E92000001,England,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.8
E06000035,Medway,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,59
E06000042,Milton Keynes,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,46.5
E06000031,Peterborough,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,52
E06000038,Reading,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63.9
E08000029,Solihull,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.1
E06000025,South Gloucestershire,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48.6
E08000007,Stockport,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,39
E06000030,Swindon,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55.7
E06000034,Thurrock,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57
E08000009,Trafford,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,52.1
E06000007,Warrington,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.1
E06000014,York,2012/13,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,54
E06000055,Bedford,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,61.7
E08000002,Bury,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57
E06000050,Cheshire West and Chester,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,42.5
E06000015,Derby,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.3
E92000001,England,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.5
E06000035,Medway,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,58.8
E06000042,Milton Keynes,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,47.3
E06000031,Peterborough,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,49.2
E06000038,Reading,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,65.6
E08000029,Solihull,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,60.5
E06000025,South Gloucestershire,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,51
E08000007,Stockport,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,38.9
E06000030,Swindon,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,58.2
E06000034,Thurrock,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,59.1
E08000009,Trafford,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,42.5
E06000007,Warrington,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,50.5
E06000014,York,2013/14,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.4
E06000055,Bedford,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,62.1
E08000002,Bury,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,53.4
E06000050,Cheshire West and Chester,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,40.9
E06000015,Derby,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,67.1
E92000001,England,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.3
E06000035,Medway,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,53.9
E06000042,Milton Keynes,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48.2
E06000031,Peterborough,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,53.4
E06000038,Reading,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63
E08000029,Solihull,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,60.2
E06000025,South Gloucestershire,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,52.5
E08000007,Stockport,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,39.3
E06000030,Swindon,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,64.2
E06000034,Thurrock,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,59.6
E08000009,Trafford,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,38.1
E06000007,Warrington,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,49.5
E06000014,York,2014/15,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.5
E06000055,Bedford,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,62.5
E08000002,Bury,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,50.9
E06000050,Cheshire West and Chester,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,42.3
E06000015,Derby,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,67.7
E92000001,England,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57
E06000035,Medway,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.3
E06000042,Milton Keynes,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,51
E06000031,Peterborough,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56
E06000038,Reading,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,67.9
E08000029,Solihull,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.2
E06000025,South Gloucestershire,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,52.3
E08000007,Stockport,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,40.6
E06000030,Swindon,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,62.9
E06000034,Thurrock,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,62.1
E08000009,Trafford,2015/16,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,39.6
